-0.05 -9.78191e-17 9.75823e-17
-0.048 -9.77734e-17 1.00248e-16
-0.046 -9.7504e-17 1.03908e-16
-0.044 -1.02513e-16 1.09024e-16
-0.042 -9.4602e-17 1.11442e-16
-0.04 -9.90861e-17 1.15666e-16
-0.038 -1.0059e-16 1.23754e-16
-0.036 -1.08939e-16 1.27026e-16
-0.034 -9.52188e-17 1.26147e-16
-0.032 -1.01044e-16 1.33672e-16
-0.03 -1.00638e-16 1.36327e-16
-0.028 -1.06014e-16 1.41106e-16
-0.026 -9.97435e-17 1.41668e-16
-0.024 -9.66681e-17 1.46917e-16
-0.022 -9.94069e-17 1.53111e-16
-0.02 -1.01843e-16 1.58057e-16
-0.018 -9.95479e-17 1.70325e-16
-0.016 -9.98436e-17 1.68531e-16
-0.014 -9.95513e-17 1.72135e-16
-0.012 -9.66801e-17 1.78243e-16
-0.01 -9.15257e-17 1.80846e-16
-0.008 -9.84492e-17 1.84505e-16
-0.006 -9.65743e-17 1.94594e-16
-0.004 -9.18692e-17 2.00911e-16
-0.002 -9.42067e-17 2.04547e-16
0 -9.16653e-17 2.12825e-16
0.002 -9.29239e-17 2.24042e-16
0.004 -9.08979e-17 2.2313e-16
0.006 -9.20402e-17 2.27084e-16
0.008 -9.12428e-17 2.40702e-16
0.01 -8.50868e-17 2.43274e-16
0.012 -8.79318e-17 2.55056e-16
0.014 -8.46774e-17 2.58622e-16
0.016 -8.31996e-17 2.60084e-16
0.018 -8.85333e-17 2.74164e-16
0.02 -7.86427e-17 2.79506e-16
0.022 -8.40408e-17 2.8714e-16
0.024 -8.65647e-17 2.97795e-16
0.026 -8.05607e-17 3.09781e-16
0.028 -8.2799e-17 3.19641e-16
0.03 -8.53201e-17 3.37823e-16
0.032 -8.30918e-17 3.419e-16
0.034 -8.3149e-17 3.58151e-16
0.036 -8.36193e-17 3.64639e-16
0.038 -8.15978e-17 3.78293e-16
0.04 -8.56753e-17 3.89986e-16
0.042 -8.72067e-17 3.99069e-16
0.044 -9.15901e-17 4.0447e-16
0.046 -9.41593e-17 4.1732e-16
0.048 -1.14079e-16 3.91074e-16

-0.05 -1.35429e-18 6.06436e-19
-0.048 -1.70081e-18 5.11368e-19
-0.046 -1.39367e-18 2.86881e-19
-0.044 -2.16214e-18 2.54972e-19
-0.042 -1.42161e-18 4.73707e-19
-0.04 -1.29092e-18 1.92567e-19
-0.038 -2.55189e-18 5.51458e-19
-0.036 -1.7605e-18 4.88599e-19
-0.034 -1.226e-18 4.13813e-19
-0.032 -1.55576e-18 5.19596e-19
-0.03 -2.00799e-18 7.42673e-19
-0.028 -1.27735e-18 5.95755e-19
-0.026 -1.65852e-18 7.0769e-19
-0.024 -1.74816e-18 6.43587e-19
-0.022 -1.14964e-18 3.75937e-19
-0.02 -1.73769e-18 3.66882e-19
-0.018 -1.42563e-18 6.25574e-19
-0.016 -1.028e-18 3.60568e-19
-0.014 -1.71241e-18 2.7559e-19
-0.012 -1.44646e-18 6.57655e-19
-0.01 -1.41728e-18 5.41118e-19
-0.008 -2.25836e-18 7.73227e-19
-0.006 -1.40717e-18 4.61278e-19
-0.004 -1.35303e-18 4.09149e-19
-0.002 -2.45223e-18 6.33236e-19
0 -1.62733e-18 4.17589e-19
0.002 -1.68245e-18 6.41386e-19
0.004 -2.38605e-18 5.93153e-19
0.006 -1.90374e-18 5.38651e-19
0.008 -1.63266e-18 4.0745e-19
0.01 -9.47994e-19 5.81832e-19
0.012 -1.07571e-18 2.37034e-19
0.014 -2.24905e-18 6.03472e-19
0.016 -1.71542e-18 3.97399e-19
0.018 -1.68096e-18 6.15977e-19
0.02 -8.53481e-19 3.3089e-19
0.022 -1.73599e-18 7.14035e-19
0.024 -1.37408e-18 5.52493e-19
0.026 -2.40742e-18 8.45031e-19
0.028 -2.59574e-18 8.73034e-19
0.03 -1.62079e-18 3.06365e-19
0.032 -1.43477e-18 6.81325e-19
0.034 -1.33332e-18 3.97585e-19
0.036 -1.68483e-18 4.99688e-19
0.038 -1.57819e-18 4.016e-19
0.04 -2.08114e-18 4.71533e-19
0.042 -1.72703e-18 4.98666e-19
0.044 -2.22394e-18 6.16583e-19
0.046 -1.81508e-18 7.45321e-19
0.048 -1.33207e-18 4.79662e-19

-0.15 -1.2994e-17 -7.13506e-18
-0.144 -1.25021e-17 -4.65627e-18
-0.138 -1.42768e-17 -3.46882e-18
-0.132 -1.39173e-17 -3.95701e-18
-0.126 -1.34164e-17 -2.79965e-18
-0.12 -1.30684e-17 -2.79875e-18
-0.114 -1.30086e-17 -3.37141e-18
-0.108 -1.31762e-17 -1.09059e-18
-0.102 -1.27048e-17 4.23254e-19
-0.096 -1.14183e-17 -4.83511e-19
-0.09 -1.11491e-17 4.34716e-19
